original,transformed,Label
They weren't willing to negotiate.,They were unwilling to negotiate.,Negative to Positive
"He ordered, ""Bring me the documents immediately.""",He ordered them to bring him the documents immediately.,Direct to Indirect Speech
He offered to carry her groceries.,"He offered, 'I will carry your groceries.'",Indirect to Direct Speech
Many errors were found in the document.,They found many errors in the document.,Passive to Active
The article has been published in a prestigious journal.,They have published the article in a prestigious journal.,Passive to Active
"She confessed, ""I accidentally deleted the file.""",She confessed that she had accidentally deleted the file.,Direct to Indirect Speech
The earthquake caused severe damage to the city.,Severe damage was caused to the city by the earthquake.,Active to Passive
His car had been repossessed.,The bank had repossessed his car.,Passive to Active
"The witness declared, ""I saw the entire incident clearly.""",The witness declared that he had seen the entire incident clearly.,Direct to Indirect Speech
"She wondered aloud, ""When will the concert begin?""",She wondered aloud when the concert would begin.,Direct to Indirect Speech
The old car was sold for scrap metal.,He sold the old car for scrap metal.,Passive to Active
"He promised, ""I will never forget this day.""",He promised that he would never forget that day.,Direct to Indirect Speech
The doctor told the patient to rest.,"The doctor told the patient, 'Rest.'",Indirect to Direct Speech
The details were explained clearly.,He explained the details clearly.,Passive to Active
They haven't resolved the conflict.,The conflict remains unresolved.,Negative to Positive
She is not aware of the problem.,She is unaware of the problem.,Negative to Positive
"My father warned, ""Don't talk to strangers.""",My father warned me not to talk to strangers.,Direct to Indirect Speech
"He promised, ""I will come back for you.""",He promised that he would come back for her.,Direct to Indirect Speech
"The pilot announced, ""We're preparing for landing.""",The pilot announced that they were preparing for landing.,Direct to Indirect Speech
He is taking photos.,He is not taking photos.,Positive to Negative
"She asked curiously, ""What is your favorite color?""",She asked curiously what my favorite color was.,Direct to Indirect Speech
She declared that she would make a difference.,"She declared, 'I will make a difference!'",Indirect to Direct Speech
"My brother told me, ""I'm moving to a new apartment next week.""",My brother told me that he was moving to a new apartment the following week.,Direct to Indirect Speech
"She pondered, ""What if I don't get the promotion?""",She pondered what if she didn't get the promotion.,Direct to Indirect Speech
"The student asked, ""May I submit my assignment late?""",The student asked if he might submit his assignment late.,Direct to Indirect Speech
She couldn't keep a straight face.,She was amused.,Negative to Positive
I don't think that's realistic.,I think that's unrealistic.,Negative to Positive
"She asked tentatively, ""Is it a good time to talk?""",She asked tentatively if it was a good time to talk.,Direct to Indirect Speech
The letter was signed by the CEO.,The CEO signed the letter.,Passive to Active
The project is being managed by a new team leader.,A new team leader is managing the project.,Passive to Active
I wouldn't advise you to do that.,I advise you against doing that.,Negative to Positive
"He complained, ""My feet are killing me.""",He complained that his feet were killing him.,Direct to Indirect Speech
The city is quiet.,The city is not quiet.,Positive to Negative
We didn't follow the instructions.,We disregarded the instructions.,Negative to Positive
The road is not safe to drive on.,The road is dangerous to drive on.,Negative to Positive
My neighbor suggested that we organize a block party.,"My neighbor suggested, 'Let's organize a block party.'",Indirect to Direct Speech
The officer ordered the suspect to surrender.,"The officer ordered the suspect, 'Surrender!'",Indirect to Direct Speech
"They cautioned, ""Be careful when crossing the road.""",They cautioned us to be careful when crossing the road.,Direct to Indirect Speech
I like sweet things.,I do not like sweet things.,Positive to Negative
His accomplishments were documented in a book.,They documented his accomplishments in a book.,Passive to Active
The audience cheered the athletes vigorously.,The athletes were vigorously cheered by the audience.,Active to Passive
"He asked desperately, ""Is there any way to fix this?""",He asked desperately if there was any way to fix that.,Direct to Indirect Speech
He isn't very flexible.,He is rigid.,Negative to Positive
It's not an acceptable excuse.,It's an unacceptable excuse.,Negative to Positive
She runs every morning.,She does not run every morning.,Positive to Negative
They told me that they had already eaten.,"They told me, 'We have already eaten.'",Indirect to Direct Speech
He warned her not to open the package.,"He warned her, 'Do not open the package!'",Indirect to Direct Speech
